2021-04-22 14:56:23.101 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:56:23.116 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.116 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.131 [t1] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.131 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:56:23.146 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:56:23.146 [t1] DEBUG LiveLock - count: 11
2021-04-22 14:56:23.162 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.162 [t1] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.178 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.178 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.194 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.194 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.210 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.210 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.226 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.226 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.242 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.242 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.258 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.258 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.274 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.274 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.290 [t1] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.290 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.305 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.305 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.320 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.320 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.335 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.335 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.351 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.351 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.366 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.366 [t1] DEBUG LiveLock - count: 8
